id,name,weight,have_perp,priceIncrement,sizeIncrement,minProvideSize
52,1INCH,0.9,true,0.0001,1.0,1.0
100,AAPL,0.0,false,,,
40,AAVE,0.9,true,0.01,0.01,0.01
101,ABNB,0.0,false,,,
102,ACB,0.0,false,,,
103,ADA,0.0,true,0.000005,1.0,1.0
219,ADABEAR,0.0,false,,,
220,ADABULL,0.0,false,,,
221,ADAHALF,0.0,false,,,
222,ADAHEDGE,0.0,false,,,
104,AKRO,0.0,false,,,
89,ALCX,0.0,true,0.1,0.001,0.001
105,ALGO,0.0,true,0.0001,1.0,1.0
223,ALGOBEAR,0.0,false,,,
224,ALGOBULL,0.0,false,,,
225,ALGOHALF,0.0,false,,,
226,ALGOHEDGE,0.0,false,,,
18,ALPHA,0.9,true,0.00005,1.0,1.0
106,ALT,0.0,true,0.05,0.001,0.001
227,ALTBEAR,0.0,false,,,
228,ALTBULL,0.0,false,,,
229,ALTHALF,0.0,false,,,
230,ALTHEDGE,0.0,false,,,
107,AMC,0.0,false,,,
108,AMD,0.0,false,,,
1,AMPL,0.0,true,0.0001,10.0,10.0
109,AMZN,0.0,false,,,
110,APHA,0.0,false,,,
111,AR,0.0,true,0.001,0.1,0.1
112,ARKK,0.0,false,,,
84,ASD,0.0,true,0.00001,0.1,0.1
231,ASDBEAR,0.0,false,,,
232,ASDBULL,0.0,false,,,
233,ASDHALF,0.0,false,,,
234,ASDHEDGE,0.0,false,,,
113,ATOM,0.0,true,0.0005,0.01,0.01
235,ATOMBEAR,0.0,false,,,
236,ATOMBULL,0.0,false,,,
237,ATOMHALF,0.0,false,,,
238,ATOMHEDGE,0.0,false,,,
75,AUDIO,0.0,true,0.0005,0.1,0.1
114,AVAX,0.0,true,0.001,0.1,0.1
90,AXS,0.0,true,0.001,0.1,0.1
115,BABA,0.0,false,,,
69,BADGER,0.85,true,0.005,0.01,0.01
49,BAL,0.0,true,0.0025,0.01,0.01
239,BALBEAR,0.0,false,,,
240,BALBULL,0.0,false,,,
241,BALHALF,0.0,false,,,
242,BALHEDGE,0.0,false,,,
61,BAND,0.85,true,0.001,0.1,0.1
82,BAO,0.85,true,0.00000025,1000.0,1000.0
56,BAT,0.0,true,0.000025,1.0,1.0
116,BB,0.0,false,,,
14,BCH,0.95,true,0.05,0.001,0.001
243,BCHBEAR,0.0,false,,,
244,BCHBULL,0.0,false,,,
245,BCHHALF,0.0,false,,,
246,BCHHEDGE,0.0,false,,,
247,BEAR,0.0,false,,,
248,BEARSHIT,0.0,false,,,
117,BILI,0.0,false,,,
118,BITW,0.0,false,,,
68,BNB,0.95,true,0.0025,0.1,0.1
249,BNBBEAR,0.0,false,,,
250,BNBBULL,0.0,false,,,
251,BNBHALF,0.0,false,,,
252,BNBHEDGE,0.0,false,,,
50,BNT,0.9,true,0.0005,0.1,0.1
119,BNTX,0.0,false,,,
9,BRZ,0.99,true,0.00001,1.0,1.0
120,BSV,0.0,true,0.01,0.01,0.01
253,BSVBEAR,0.0,false,,,
254,BSVBULL,0.0,false,,,
255,BSVHALF,0.0,false,,,
256,BSVHEDGE,0.0,false,,,
36,BTC,0.98,true,1.0,0.0001,0.001
121,BTT,0.0,true,0.00000005,1000.0,1000.0
257,BULL,0.0,false,,,
258,BULLSHIT,0.0,false,,,
259,BVOL,0.0,false,,,
122,BYND,0.0,false,,,
392,C98,0.0,true,0.0001,1.0,1.0
123,CAD,0.0,false,,,
124,CAKE,0.0,true,0.0025,0.1,0.1
48,CEL,0.0,true,0.0005,0.1,0.1
125,CGC,0.0,false,,,
397,CHR,0.0,true,0.00005,1.0,1.0
15,CHZ,0.0,true,0.000001,10.0,10.0
91,CLV,0.0,true,0.0005,0.1,0.1
126,COIN,0.0,false,,,
17,COMP,0.9,true,0.01,0.0001,0.0001
260,COMPBEAR,0.0,false,,,
261,COMPBULL,0.0,false,,,
262,COMPHALF,0.0,false,,,
263,COMPHEDGE,0.0,false,,,
34,CONV,0.0,true,0.00001,10.0,10.0
127,COPE,0.0,false,,,
128,CQT,0.0,false,,,
8,CREAM,0.0,true,0.05,0.01,0.01
55,CRO,0.0,true,0.000025,10.0,10.0
129,CRON,0.0,false,,,
64,CRV,0.0,true,0.00005,1.0,1.0
24,CUSDT,0.9,true,0.0000025,1.0,1.0
264,CUSDTBEAR,0.0,false,,,
265,CUSDTBULL,0.0,false,,,
266,CUSDTHALF,0.0,false,,,
267,CUSDTHEDGE,0.0,false,,,
130,DAI,0.0,false,,,
131,DASH,0.0,true,0.025,0.01,0.01
93,DAWN,0.0,true,0.0005,0.1,0.1
132,DEFI,0.0,true,0.1,0.001,0.001
268,DEFIBEAR,0.0,false,,,
269,DEFIBULL,0.0,false,,,
270,DEFIHALF,0.0,false,,,
271,DEFIHEDGE,0.0,false,,,
7,DENT,0.0,true,0.000001,100.0,100.0
133,DKNG,0.0,false,,,
96,DMG,0.0,true,0.001,0.1,0.1
26,DODO,0.0,true,0.0005,0.1,0.1
44,DOGE,0.95,true,0.0000005,1.0,1.0
272,DOGEBEAR2021,0.0,false,,,
273,DOGEBULL,0.0,false,,,
274,DOGEHALF,0.0,false,,,
275,DOGEHEDGE,0.0,false,,,
134,DOT,0.0,true,0.001,0.1,0.1
135,DRGN,0.0,true,0.1,0.001,0.001
276,DRGNBEAR,0.0,false,,,
277,DRGNBULL,0.0,false,,,
278,DRGNHALF,0.0,false,,,
279,DRGNHEDGE,0.0,false,,,
136,EGLD,0.0,true,0.005,0.01,0.01
137,EMB,0.0,false,,,
54,ENJ,0.0,true,0.00005,1.0,1.0
138,EOS,0.0,true,0.00025,0.1,0.1
280,EOSBEAR,0.0,false,,,
281,EOSBULL,0.0,false,,,
282,EOSHALF,0.0,false,,,
283,EOSHEDGE,0.0,false,,,
139,ETC,0.0,true,0.0005,0.1,0.1
284,ETCBEAR,0.0,false,,,
285,ETCBULL,0.0,false,,,
286,ETCHALF,0.0,false,,,
287,ETCHEDGE,0.0,false,,,
20,ETH,0.95,true,0.1,0.001,0.001
288,ETHBEAR,0.0,false,,,
289,ETHBULL,0.0,false,,,
140,ETHE,0.0,false,,,
290,ETHHALF,0.0,false,,,
291,ETHHEDGE,0.0,false,,,
141,EUR,0.0,false,,,
142,EXCH,0.0,true,0.1,0.001,0.001
292,EXCHBEAR,0.0,false,,,
293,EXCHBULL,0.0,false,,,
294,EXCHHALF,0.0,false,,,
295,EXCHHEDGE,0.0,false,,,
143,FB,0.0,false,,,
10,FIDA,0.85,true,0.0001,1.0,1.0
144,FIL,0.0,true,0.005,0.1,0.1
145,FLM,0.0,true,0.0005,0.1,0.1
146,FLOW,0.0,true,0.005,0.01,0.01
147,FRONT,0.0,false,,,
57,FTM,0.85,true,0.00005,1.0,1.0
47,FTT,0.95,true,0.0005,0.1,0.1
148,GBP,0.0,false,,,
149,GBTC,0.0,false,,,
150,GDX,0.0,false,,,
151,GDXJ,0.0,false,,,
152,GLD,0.0,false,,,
153,GLXY,0.0,false,,,
154,GME,0.0,false,,,
155,GOOGL,0.0,false,,,
79,GRT,0.9,true,0.00005,1.0,1.0
296,GRTBEAR,0.0,false,,,
297,GRTBULL,0.0,false,,,
156,GT,0.0,false,,,
298,HALF,0.0,false,,,
299,HALFSHIT,0.0,false,,,
157,HBAR,0.0,true,0.00005,1.0,1.0
300,HEDGE,0.0,false,,,
301,HEDGESHIT,0.0,false,,,
158,HGET,0.0,false,,,
21,HNT,0.0,true,0.0001,0.1,0.1
2,HOLY,0.9,true,0.0001,1.0,1.0
159,HOOD,0.0,false,,,
160,HOT,0.0,true,0.000001,100.0,100.0
13,HT,0.9,true,0.0005,0.01,0.01
302,HTBEAR,0.0,false,,,
303,HTBULL,0.0,false,,,
304,HTHALF,0.0,false,,,
305,HTHEDGE,0.0,false,,,
87,HUM,0.0,true,0.000025,10.0,10.0
161,HXRO,0.0,false,,,
306,IBVOL,0.0,false,,,
162,ICP,0.0,true,0.01,0.01,0.01
163,ICX,0.0,true,0.00005,1.0,1.0
164,IOTA,0.0,true,0.0001,1.0,1.0
165,JST,0.0,false,,,
166,KAVA,0.0,true,0.0005,0.1,0.1
16,KIN,0.85,true,0.00000001,10000.0,10000.0
59,KNC,0.95,true,0.0001,0.1,0.1
307,KNCBEAR,0.0,false,,,
308,KNCBULL,0.0,false,,,
309,KNCHALF,0.0,false,,,
310,KNCHEDGE,0.0,false,,,
167,KSM,0.0,true,0.01,0.01,0.01
29,LEO,0.85,true,0.0001,1.0,1.0
311,LEOBEAR,0.0,false,,,
312,LEOBULL,0.0,false,,,
313,LEOHALF,0.0,false,,,
314,LEOHEDGE,0.0,false,,,
72,LINA,0.0,true,0.000005,10.0,10.0
25,LINK,0.95,true,0.0005,0.1,0.1
315,LINKBEAR,0.0,false,,,
316,LINKBULL,0.0,false,,,
317,LINKHALF,0.0,false,,,
318,LINKHEDGE,0.0,false,,,
83,LRC,0.85,true,0.00005,1.0,1.0
31,LTC,0.95,true,0.01,0.01,0.01
319,LTCBEAR,0.0,false,,,
320,LTCBULL,0.0,false,,,
321,LTCHALF,0.0,false,,,
322,LTCHEDGE,0.0,false,,,
168,LUA,0.0,false,,,
169,LUNA,0.0,true,0.001,0.1,0.1
12,MAPS,0.0,true,0.0001,1.0,1.0
170,MATH,0.0,false,,,
35,MATIC,0.85,true,0.0000025,1.0,1.0
323,MATICBEAR2021,0.0,false,,,
324,MATICBULL,0.0,false,,,
325,MATICHALF,0.0,false,,,
326,MATICHEDGE,0.0,false,,,
5,MEDIA,0.0,true,0.1,0.01,0.01
4,MER,0.0,true,0.0001,1.0,1.0
171,MID,0.0,true,0.1,0.001,0.001
327,MIDBEAR,0.0,false,,,
328,MIDBULL,0.0,false,,,
329,MIDHALF,0.0,false,,,
330,MIDHEDGE,0.0,false,,,
38,MKR,0.9,true,0.5,0.001,0.001
331,MKRBEAR,0.0,false,,,
332,MKRBULL,0.0,false,,,
172,MOB,0.0,false,,,
173,MRNA,0.0,false,,,
174,MSTR,0.0,false,,,
33,MTA,0.0,true,0.0005,1.0,1.0
70,MTL,0.0,true,0.0005,0.1,0.1
175,MVDA10,0.0,true,2.5,0.0001,0.0001
176,MVDA25,0.0,true,2.5,0.0001,0.0001
177,NEAR,0.0,true,0.0005,0.1,0.1
178,NEO,0.0,true,0.0025,0.1,0.1
179,NFLX,0.0,false,,,
180,NIO,0.0,false,,,
181,NOK,0.0,false,,,
182,NVDA,0.0,false,,,
88,OKB,0.9,true,0.0005,0.01,0.01
333,OKBBEAR,0.0,false,,,
334,OKBBULL,0.0,false,,,
335,OKBHALF,0.0,false,,,
336,OKBHEDGE,0.0,false,,,
46,OMG,0.85,true,0.0005,0.1,0.1
183,ONT,0.0,true,0.00005,1.0,1.0
95,ORBS,0.0,true,0.000025,10.0,10.0
81,OXY,0.0,true,0.0005,0.1,0.1
6,PAXG,0.95,true,0.1,0.01,0.01
337,PAXGBEAR,0.0,false,,,
338,PAXGBULL,0.0,false,,,
339,PAXGHALF,0.0,false,,,
340,PAXGHEDGE,0.0,false,,,
184,PENN,0.0,false,,,
11,PERP,0.0,true,0.001,0.1,0.1
185,PFE,0.0,false,,,
186,PRIV,0.0,true,0.1,0.001,0.001
341,PRIVBEAR,0.0,false,,,
342,PRIVBULL,0.0,false,,,
343,PRIVHALF,0.0,false,,,
344,PRIVHEDGE,0.0,false,,,
42,PROM,0.0,true,0.005,0.01,0.01
3,PUNDIX,0.0,true,0.0005,0.1,0.1
187,PYPL,0.0,false,,,
188,QTUM,0.0,true,0.001,0.1,0.1
73,RAMP,0.0,true,0.0001,1.0,1.0
76,RAY,0.85,true,0.0001,1.0,1.0
51,REEF,0.0,true,0.000005,10.0,10.0
27,REN,0.9,true,0.00005,1.0,1.0
78,ROOK,0.0,true,0.05,0.001,0.001
37,RSR,0.85,true,0.000005,10.0,10.0
28,RUNE,0.85,true,0.0005,0.1,1.0
86,SAND,0.0,true,0.00005,1.0,1.0
189,SC,0.0,true,0.0000025,100.0,100.0
62,SECO,0.9,true,0.0001,1.0,1.0
190,SGD,0.0,false,,,
43,SHIB,0.0,true,0.00000001,100000.0,100000.0
191,SHIT,0.0,true,0.1,0.001,0.001
22,SKL,0.0,true,0.0001,1.0,1.0
97,SLP,0.0,true,0.000025,10.0,10.0
192,SLRS,0.0,false,,,
193,SLV,0.0,false,,,
58,SNX,0.85,true,0.0005,0.1,0.1
194,SNY,0.0,false,,,
23,SOL,0.9,true,0.0025,1.0,1.0
195,SPY,0.0,false,,,
196,SQ,0.0,false,,,
85,SRM,0.9,true,0.001,1.0,1.0
197,SRN,0.0,true,0.000005,10.0,10.0
94,STEP,0.0,true,0.0005,0.1,0.1
80,STMX,0.0,true,0.000005,10.0,10.0
66,STORJ,0.0,true,0.0005,0.1,0.1
198,STX,0.0,true,0.00025,1.0,1.0
199,SUN,0.0,false,,,
30,SUSHI,0.95,true,0.0001,0.5,0.5
345,SUSHIBEAR,0.0,false,,,
346,SUSHIBULL,0.0,false,,,
19,SXP,0.9,true,0.0005,0.1,0.1
347,SXPBEAR,0.0,false,,,
348,SXPBULL,0.0,false,,,
349,SXPHALF,0.0,false,,,
350,SXPHEDGE,0.0,false,,,
200,THETA,0.0,true,0.00005,0.1,0.1
351,THETABEAR,0.0,false,,,
352,THETABULL,0.0,false,,,
353,THETAHALF,0.0,false,,,
354,THETAHEDGE,0.0,false,,,
201,TLRY,0.0,false,,,
71,TOMO,0.85,true,0.00005,0.1,0.1
355,TOMOBEAR2021,0.0,false,,,
356,TOMOBULL,0.0,false,,,
357,TOMOHALF,0.0,false,,,
358,TOMOHEDGE,0.0,false,,,
77,TRU,0.0,true,0.000025,1.0,1.0
45,TRX,0.9,true,0.0000025,1.0,1.0
359,TRXBEAR,0.0,false,,,
360,TRXBULL,0.0,false,,,
361,TRXHALF,0.0,false,,,
362,TRXHEDGE,0.0,false,,,
53,TRYB,0.9,true,0.00001,1.0,1.0
363,TRYBBEAR,0.0,false,,,
364,TRYBBULL,0.0,false,,,
365,TRYBHALF,0.0,false,,,
366,TRYBHEDGE,0.0,false,,,
202,TSLA,0.0,false,,,
203,TSM,0.0,false,,,
204,TWTR,0.0,false,,,
205,UBER,0.0,false,,,
206,UBXT,0.0,false,,,
39,UNI,0.95,true,0.001,0.1,0.1
207,UNISWAP,0.0,true,25.0,0.0001,0.0001
367,UNISWAPBEAR,0.0,false,,,
368,UNISWAPBULL,0.0,false,,,
41,USDT,0.98,true,0.0001,1.0,1.0
369,USDTBEAR,0.0,false,,,
370,USDTBULL,0.0,false,,,
371,USDTHALF,0.0,false,,,
372,USDTHEDGE,0.0,false,,,
208,USO,0.0,false,,,
209,VET,0.0,true,0.000005,1.0,1.0
373,VETBEAR,0.0,false,,,
374,VETBULL,0.0,false,,,
375,VETHEDGE,0.0,false,,,
67,WAVES,0.0,true,0.0005,0.5,0.5
210,WBTC,0.0,false,,,
211,WRX,0.0,false,,,
65,XAUT,0.95,true,0.1,0.01,0.01
376,XAUTBEAR,0.0,false,,,
377,XAUTBULL,0.0,false,,,
378,XAUTHALF,0.0,false,,,
379,XAUTHEDGE,0.0,false,,,
212,XEM,0.0,true,0.00005,1.0,1.0
213,XLM,0.0,true,0.000025,1.0,1.0
380,XLMBEAR,0.0,false,,,
381,XLMBULL,0.0,false,,,
214,XMR,0.0,true,0.01,0.01,0.01
32,XRP,0.95,true,0.000025,1.0,1.0
382,XRPBEAR,0.0,false,,,
383,XRPBULL,0.0,false,,,
384,XRPHALF,0.0,false,,,
385,XRPHEDGE,0.0,false,,,
215,XTZ,0.0,true,0.0001,0.001,0.001
386,XTZBEAR,0.0,false,,,
387,XTZBULL,0.0,false,,,
388,XTZHALF,0.0,false,,,
389,XTZHEDGE,0.0,false,,,
60,YFI,0.9,true,5.0,0.001,0.001
74,YFII,0.0,true,0.25,0.001,0.001
216,ZEC,0.0,true,0.01,0.05,0.05
390,ZECBEAR,0.0,false,,,
391,ZECBULL,0.0,false,,,
217,ZIL,0.0,true,0.00001,10.0,10.0
218,ZM,0.0,false,,,
63,ZRX,0.85,true,0.00025,1.0,1.0
